0.00225176,0.00225176
2.84659,2.24211
5.0645,3.96547
7.12123,5.28056
9.07863,6.35232
10.9727,7.21898
12.824,7.9029
14.6444,8.41902
16.4424,8.77856
18.2251,8.99029
19.9999,9.06015
21.7747,8.99028
23.5574,8.77855
25.3554,8.41901
27.1758,7.90287
29.0271,7.21895
30.9212,6.3523
32.8786,5.28054
34.9354,3.96545
37.1534,2.2421
39.9977,0.00225179
2.24211,2.84659
3.05943,3.05943
5.20062,4.31497
7.19346,5.57296
9.11389,6.62147
10.9867,7.48399
12.8252,8.17501
14.639,8.70368
16.4354,9.07657
18.2205,9.29836
19.9999,9.37196
21.7793,9.29835
23.5644,9.07656
25.3608,8.70366
27.1747,8.17499
29.0131,7.48396
30.886,6.62144
32.8064,5.57294
34.7993,4.31495
36.9405,3.05942
37.7578,2.84658
3.96547,5.0645
4.31497,5.20062
5.52179,5.52179
7.3605,6.35151
9.20962,7.26684
11.0384,8.07762
12.85,8.74872
14.6484,9.27226
16.4374,9.64629
18.2202,9.87057
19.9999,9.94529
21.7796,9.87056
23.5624,9.64627
25.3514,9.27223
27.1498,8.74869
28.9614,8.07759
30.7902,7.26681
32.6394,6.35148
34.4781,5.52177
35.6849,5.2006
36.0344,5.06449
5.28056,7.12123
5.57296,7.19346
6.35151,7.3605
7.69673,7.69673
9.38571,8.30551
11.1403,8.97692
12.9087,9.58136
14.6805,10.072
16.4534,10.4301
18.2266,10.6475
19.9999,10.7203
21.7732,10.6475
23.5464,10.4301
25.3193,10.0719
27.0911,9.58132
28.8595,8.97689
30.6141,8.30548
32.3031,7.6967
33.6483,7.36047
34.4269,7.19344
34.7193,7.12121
6.35232,9.07863
6.62147,9.11389
7.26684,9.20962
8.30551,9.38571
9.70383,9.70383
11.3191,10.1663
13.0141,10.6535
14.7423,11.0798
16.4874,11.4032
18.2415,11.6035
19.9999,11.6712
21.7582,11.6035
23.5124,11.4032
25.2574,11.0797
26.9857,10.6534
28.6807,10.1663
30.296,9.70379
31.6943,9.38568
32.733,9.20959
33.3783,9.11386
33.6475,9.07861
7.21898,10.9727
7.48399,10.9867
8.07763,11.0384
8.97693,11.1403
10.1663,11.3191
11.5959,11.5959
13.1791,11.9402
14.8403,12.2766
16.5423,12.5477
18.2662,12.721
19.9999,12.7804
21.7336,12.721
23.4575,12.5477
25.1594,12.2766
26.8207,11.9402
28.4039,11.5958
29.8335,11.3191
31.0229,11.1403
31.9222,11.0384
32.5158,10.9867
32.7808,10.9727
7.9029,12.824
8.17501,12.8252
8.74872,12.85
9.58136,12.9087
10.6535,13.0141
11.9402,13.1791
13.3987,13.3987
14.9738,13.6372
16.6179,13.8446
18.3003,13.9831
19.9999,14.0314
21.6995,13.9831
23.3818,13.8446
25.0259,13.6372
26.6011,13.3987
28.0596,13.1791
29.3463,13.0141
30.4184,12.9087
31.251,12.85
31.8247,12.8251
32.0968,12.824
8.41903,14.6444
8.70368,14.639
9.27226,14.6484
10.072,14.6805
11.0798,14.7423
12.2766,14.8403
13.6372,14.9738
15.127,15.127
16.7067,15.2696
18.3407,15.3695
19.9999,15.4052
21.6591,15.3695
23.293,15.2696
24.8728,15.127
26.3625,14.9738
27.7231,14.8403
28.92,14.7423
29.9278,14.6805
30.7275,14.6484
31.296,14.639
31.5807,14.6444
8.77856,16.4424
9.07657,16.4354
9.64629,16.4374
10.4301,16.4534
11.4032,16.4874
12.5477,16.5423
13.8446,16.6179
15.2696,16.7067
16.7926,16.7926
18.3804,16.8552
19.9999,16.8781
21.6194,16.8552
23.2071,16.7926
24.7301,16.7067
26.1551,16.6179
27.452,16.5423
