0,1,1
0,6,1
0,7,1.41421
1,6,1.41421
1,2,1
1,7,1
1,8,1.41421
2,7,1.41421
2,3,1
2,8,1
2,9,1.41421
3,8,1.41421
3,4,1
3,9,1
3,10,1.41421
4,9,1.41421
4,5,1
4,10,1
4,11,1.41421
5,10,1.41421
6,7,1
6,12,1
6,13,1.41421
7,12,1.41421
7,8,1
7,13,1
7,14,1.41421
8,13,1.41421
8,9,1
8,14,1
8,15,1.41421
9,14,1.41421
9,10,1
9,15,1
9,16,1.41421
10,15,1.41421
10,11,1
10,16,1
10,17,1.41421
11,16,1.41421
12,13,1
12,18,1
12,19,1.41421
13,18,1.41421
13,14,1
13,19,1
13,20,1.41421
14,19,1.41421
14,15,1
14,20,1
14,21,1.41421
15,20,1.41421
15,16,1
15,21,1
15,22,1.41421
16,21,1.41421
16,17,1
16,22,1
16,23,1.41421
17,22,1.41421
18,19,1
18,24,1
18,25,1.41421
19,24,1.41421
19,20,1
19,25,1
19,26,1.41421
20,25,1.41421
20,21,1
20,26,1
20,27,1.41421
21,26,1.41421
21,22,1
21,27,1
21,28,1.41421
22,27,1.41421
22,23,1
22,28,1
22,29,1.41421
23,28,1.41421
24,25,1
24,30,1
24,31,1.41421
25,30,1.41421
25,26,1
25,31,1
25,32,1.41421
26,31,1.41421
26,27,1
26,32,1
26,33,1.41421
27,32,1.41421
27,28,1
27,33,1
27,34,1.41421
28,33,1.41421
28,29,1
28,34,1
28,35,1.41421
29,34,1.41421
5,11,1
11,17,1
17,23,1
23,29,1
29,35,1
30,31,1
31,32,1
32,33,1
33,34,1
34,35,1
